course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_culpa_link,instructor_culpa_nugget,instructor_culpa_reviews_count,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
AFAS GR9900,INDEPENDENT STUDY-GRADUATE,,Steven Gregory,,,12956,Morningside,G9900-20211-004,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,http://culpa.info/professors/1390,,5.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/G9900-20211-004/,,,,3,,,20211AFAS9900G004,INDEPENDENT
AFAS GR9900,INDEPENDENT STUDY-GRADUATE,,Frank Guridy,,,12957,Morningside,G9900-20211-005,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,http://culpa.info/professors/13328,,2.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/G9900-20211-005/,,,,3,,,20211AFAS9900G005,INDEPENDENT
AFAS GU4080,TOPICS IN THE BLACK EXPERIENCE,"Please refer to Institute for Research in African American Studies for section-by-section course descriptions.
",Kevin Fellezs,4:10pm,6:00pm,12944,Morningside,G4080-20211-002,The Love Song in Popular Music,African American and African Diaspora,AFAS,http://culpa.info/professors/11430,,4.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/G4080-20211-002/,ONLINE ONLY,,,4,,W,20211AFAS4080G002,SEMINAR
AFAS UN1002,Major Debates in African-American Studie,"Prerequisites: Students must register for discussion section, AFAS UN1003. This course will focus on the major debates in African-American Studies from the role of education to the political uses of art. The class will follow these debates historically with attention to the ways in which earlier discussions on migration and emigration, for example, were engaged with the specific historical conjuncture in which they took place as well as in the myriad ways in which earlier debates continue to resonate today. There will be a mix of primary documents and secondary sources and commentary.
",Frank Guridy,10:10am,12:00pm,12945,Morningside,W1002-20211-001,MAJ DEBATES AF-AM STUDIES,African American and African Diaspora,AFAS,http://culpa.info/professors/13328,,2.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W1002-20211-001/,ONLINE ONLY,,,4,AFAS UN1003,R,20211AFAS1002W001,LECTURE
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Farah Griffin,,,12948,Morningside,C3901-20211-001,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,http://culpa.info/professors/2893,gold,10.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20211-001/,,,,1-4,,,20211AFAS3901C001,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Mabel O Wilson,,,12949,Morningside,C3901-20211-002,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,,,,https://en.wikipedia.org/wiki/Mabel_O._Wilson,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20211-002/,,,,1-4,,,20211AFAS3901C002,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Josef Sorett,,,12950,Morningside,C3901-20211-003,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,http://culpa.info/professors/9341,silver,3.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20211-003/,,,,1-4,,,20211AFAS3901C003,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Steven Gregory,,,12951,Morningside,C3901-20211-004,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,http://culpa.info/professors/1390,,5.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20211-004/,,,,1-4,,,20211AFAS3901C004,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Frank Guridy,,,12952,Morningside,C3901-20211-005,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,http://culpa.info/professors/13328,,2.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20211-005/,,,,1-4,,,20211AFAS3901C005,INDEPENDENT
AFAS UN3930,TOPICS IN THE BLACK EXPERIENCE,"Please refer to Institute for Research in African American Studies for section course descriptions: http://iraas.columbia.edu/
",C. Daniel Dawson,4:10pm,6:00pm,12943,Morningside,C3930-20211-001,MAROON SOCIETIES IN THE AMERIC,African American and African Diaspora,AFAS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3930-20211-001/,ONLINE ONLY,,,4,,T,20211AFAS3930C001,SEMINAR
AFAS UN3930,TOPICS IN THE BLACK EXPERIENCE,"Please refer to Institute for Research in African American Studies for section course descriptions: http://iraas.columbia.edu/
",Tyrone Palmer,2:10pm,4:00pm,12946,Morningside,C3930-20211-002,TOPICS IN THE BLACK EXPER,African American and African Diaspora,AFAS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3930-20211-002/,ONLINE ONLY,,,4,,W,20211AFAS3930C002,SEMINAR
