course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
LAW_ L6362,PROF RESP ISSUES/BUSI PRACT,,Anthony Davis,4:20pm,6:10pm,10077,Morningside,L6362-20231-001,PROF RESP ISSUES/BUSI PRA,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6362-20231-001/,To be announced,In-Person,,2,,R,20231LAW_6362L001,LECTURE
LAW_ L6391,REGULATION OF FINANCIAL INST,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",,1:20pm,2:40pm,10141,Morningside,L6391-20231-001,REGULATION OF FINANCIAL I,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6391-20231-001/,To be announced,In-Person,,3,,MW,20231LAW_6391L001,LECTURE
LAW_ L6407,ADV CON LAW:1ST AMENDMENT,,,1:20pm,2:40pm,10018,Morningside,L6407-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6407-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6407L001,LECTURE
LAW_ L6410,CONSTITUTION & FOREIGN AFFAIRS,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Lori F Damrosch,1:20pm,2:40pm,10032,Morningside,L6410-20231-001,CONSTITUTION & FOREIGN AF,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6410-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6410L001,LECTURE
LAW_ L6423,SECURITIES REGULATION,"Prerequisites: L6231 This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Merritt B Fox,10:40am,12:00pm,10099,Morningside,L6423-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6423-20231-001/,To be announced,In-Person,,4,L6231,TWR,20231LAW_6423L001,LECTURE
LAW_ L6424,INT'L SECURITIES REGULATION,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Edward Greene,9:10am,10:05am,10061,Morningside,L6424-20231-001,INT'L SECURITIES REGULATI,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6424-20231-001/,To be announced,In-Person,,2,,MW,20231LAW_6424L001,LECTURE
LAW_ L6425,FEDERAL COURTS,,Kellen R Funk,10:10am,12:00pm,10050,Morningside,L6425-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6425-20231-001/,To be announced,In-Person,,4,,TR,20231LAW_6425L001,LECTURE
LAW_ L6429,FEDERAL CRIMINAL LAW,,Daniel Richman,1:20pm,2:40pm,10051,Morningside,L6429-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Daniel_Richman,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6429-20231-001/,To be announced,In-Person,,3,,MW,20231LAW_6429L001,LECTURE
LAW_ L6459,THE LAW OF GENOCIDE,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Menachem Rosensaft,4:20pm,6:10pm,10101,Morningside,L6459-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Menachem_Z._Rosensaft,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6459-20231-001/,To be announced,In-Person,,2,,T,20231LAW_6459L001,LECTURE
LAW_ L6467,MILITARY LAW AND THE CONST,,Michel Paradis,4:20pm,6:10pm,10072,Morningside,L6467-20231-001,MILITARY LAW AND THE CONS,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6467-20231-001/,To be announced,In-Person,,2,,M,20231LAW_6467L001,LECTURE
LAW_ L6473,LABOR LAW,,Mark Barenberg,1:20pm,2:40pm,10064,Morningside,L6473-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6473-20231-001/,To be announced,In-Person,,4,,MTW,20231LAW_6473L001,LECTURE
