course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Josef Sorett,,,13524,Morningside,C3901-20223-006,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20223-006/,,In-Person,,1-4,,,20223AFAS3901C006,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Kevin Fellezs,,,13525,Morningside,C3901-20223-007,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20223-007/,,In-Person,,1-4,,,20223AFAS3901C007,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Samuel K Jr Roberts,,,13527,Morningside,C3901-20223-008,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20223-008/,,In-Person,,1-4,,,20223AFAS3901C008,INDEPENDENT
AFAS UN3930,TOPICS IN THE BLACK EXPERIENCE,"Please refer to Institute for Research in African American Studies for section course descriptions: http://iraas.columbia.edu/
",C. Daniel Dawson,4:10pm,6:00pm,13517,Morningside,C3930-20223-001,AFRICAN SPIRITUAL-AMERICAS,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3930-20223-001/,To be announced,In-Person,,4,,T,20223AFAS3930C001,SEMINAR
AFAS UN3943,Senior Pro Seminar,"This course is a seminar for seniors to either write a formal proposal for a capstone project or to begin the research process for a Senior Thesis, which will be written in the Spring semester. This interdisciplinary course provides the necessary structure needed to complete either goal. This will be an interactive class in which students are required to participate and actively engage in each meeting.
",Robert Gooding-Williams,4:10pm,6:00pm,13513,Barnard College,W3943-20223-001,SENIOR PRO SEMINAR,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W3943-20223-001/,To be announced,In-Person,,4,,W,20223AFAS3943W001,SEMINAR
AFCV UN1020,AFRICAN CIVILIZATION,"This course provides a general introduction to some of the key intellectual debates in Africa by Africans through primary sources, including scholarly works, political tracts, fiction, art, and film. Beginning with an exploration of African notions of spiritual and philosophical uniqueness and ending with contemporary debates on the meaning and historical viability of an African Renaissance, this course explores the meanings of ‘Africa and ‘being African. Field(s): AFR*. NO FIRST YEAR STUDENTS PERMITTED.
",,10:10am,12:00pm,13170,Morningside,C1020-20223-001,,Core (A&S)	,AFCV,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFCV/C1020-20223-001/,To be announced,In-Person,"Columbia College
Engineering:Undergraduate
General Studies",4,,TR,20223AFCV1020C001,LECTURE
AFCV UN1020,AFRICAN CIVILIZATION,"This course provides a general introduction to some of the key intellectual debates in Africa by Africans through primary sources, including scholarly works, political tracts, fiction, art, and film. Beginning with an exploration of African notions of spiritual and philosophical uniqueness and ending with contemporary debates on the meaning and historical viability of an African Renaissance, this course explores the meanings of ‘Africa and ‘being African. Field(s): AFR*. NO FIRST YEAR STUDENTS PERMITTED.
",,2:10pm,4:00pm,13190,Morningside,C1020-20223-002,,Core (A&S)	,AFCV,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFCV/C1020-20223-002/,To be announced,In-Person,"Columbia College
Engineering:Undergraduate
General Studies",4,,TR,20223AFCV1020C002,LECTURE
AFRS BC3516,Environmental Humanities in the Global S,"""This interdisciplinary course studies how individuals and communities in the Global South attempt to make sense of the ‘sense of an ending’ that underlines all warnings about environmental crisis and climate change. Our interdisciplinary course has a doubled foundation out of which our readings and discussions will grow: communal understanding and knowledge about local environments, on one hand, and the relation between such knowledge and the data and information gathered by scientists.""
 
 ""We therefore begin with a simple question: what is the relation between the Humanities and the work of scientists? Scientists undertake painstaking, necessary research to provide communities and their governments with vital, necessary information. Individuals and communities interpret and translate this information, often affectively. An organization of scientists studying carbon levels across Africa can list the progressive increase in temperatures across Africa over a period of years and calculate anticipated increases. An image based on this data may visualize the projected rise:""
 
 ""A glance reveals something dire based on the way we associate red with danger. Our course is oriented towards who lives beneath the surfaces of data and images that ‘draw a picture’ for us. We read for how communities and individuals explain and communicate their relation to the historical and changing environments. In other words, we attend to narration, in different forms—fiction, poetry, song, travelogue—to grasp how experiences are rendered comprehensible. There is a broad ‘where’ as well, and a fluid ‘when.’ ‘Where’ takes us into the portmanteau category of ‘The Global South.’ We bracket the scope of this category to focus upon specific places in the Indian Ocean, sub-Saharan Africa and diasporic African communities. ‘When’ permits us to think of time, the time of the world, the times of change and the times of aftermaths. Go into an archive, open a history book, a sacred text and you will encounter ‘endings.’ We enter British colonial archives to see how signs of  ‘When’ also allows us to face an underlying dread that might be called a ‘sense of an ending’ and to see just how many such ‘endings’ have come to pass. This is how we enter the diasporic histories of environmental change related to colonialism and the enslavement and transportation of whose descendants live in the bro",Yvette Christianse,2:00pm,4:00pm,00746,Barnard College,X3516-20223-001,ENVIRO HUMANITIES GLOBAL,Africana Studies (AFSB),AFRS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFRS/X3516-20223-001/,To be announced,,,4,,T,20223AFRS3516X001,SEMINAR
AFRS BC3519,Race Before Race:  Premodern Constructio,"This course expands the reach of traditional analyses of race and ethnicity by demonstrating the key role of premodernity (Classical, Medieval and Early Modern eras) in developing modes of race thinking that shape the modern world. We will use intersectional approaches and critical race theory to examine both theorizing about race and primary materials that (re)produce race across time and in the present moment.  What does it mean to look at premodernity through the eyes of the African Diaspora?   Our examination of the different types of premodern race thinking will culminate in a collaborative class project in which students will be asked to apply critical race theory inflected approaches to editing an early modern text.   
",Kim F Hall,4:10pm,6:00pm,00046,Barnard College,X3519-20223-001,RACE BEFORE RACE,Africana Studies (AFSB),AFRS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFRS/X3519-20223-001/,To be announced,,,4,,T,20223AFRS3519X001,SEMINAR
AFRS BC3567,"""BLACKNESS"""" IN FRENCH""","Blackness in French
",Kaiama L Glover,11:00am,12:50pm,00045,Barnard College,X3567-20223-001,,Africana Studies (AFSB),AFRS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFRS/X3567-20223-001/,To be announced,,,4,,W,20223AFRS3567X001,SEMINAR
